"Name","Owner","Description","Pledged","goal","TotalBackers","DaysLeft","Time","EstDelivery","SubBackers"
"Out of the Woods (Fairy Tale Card Game and Book)","American McGee","Out of the Woods is a collection of traditional fairy tales adapted into a Card Game, Illustrated Book, and compilation of Art Prints.","$176,750","pledged of $175,000 goal","2,434","6","Fri, August 18 2017 11:59 PM AWST",,
"Gramatik | Coffee Shop Selection On Vinyl","Gramatik","Coffee Shop Selection is finally being released on vinyl! We're making this a one time only run!","$12,822","pledged of $4,000 goal","314","17","Tue, August 29 2017 9:24 PM AWST",,
"Annabelle & Aiden: Worlds Within Us","Joseph Becker","A kids' book exploring the big bang, and how we're all made of stars - and more special, interconnected, and 'larger' than we think.","$8,568","pledged of $2,500 goal","247","23","Tue, September 5 2017 10:13 AM AWST",,
"Out of the Woods (Fairy Tale Card Game and Book)","American McGee","Out of the Woods is a collection of traditional fairy tales adapted into a Card Game, Illustrated Book, and compilation of Art Prints.","$176,715","pledged of $175,000 goal","2,433","6","Fri, August 18 2017 11:59 PM AWST",,
"Gramatik | Coffee Shop Selection On Vinyl","Gramatik","Coffee Shop Selection is finally being released on vinyl! We're making this a one time only run!","$12,822","pledged of $4,000 goal","314","17","Tue, August 29 2017 9:24 PM AWST",,
"Annabelle & Aiden: Worlds Within Us","Joseph Becker","A kids' book exploring the big bang, and how we're all made of stars - and more special, interconnected, and 'larger' than we think.","$8,568","pledged of $2,500 goal","247","23","Tue, September 5 2017 10:13 AM AWST",,
"The Iron Oath: Dark Turn-based Tactical RPG","Curious Panda","A gritty turn-based RPG with a focus on tactics and the management of your guild within a dynamic world.","$16,374","pledged of $45,000 goal","556","27","Fri, September 8 2017 11:40 PM AWST",,
"White Wanderer: A Climate Change Soundtrack","Luftwerk & NRDC","A monumental public art installation bringing the sights & sounds of Antarctica's Larsen C ice shelf to Chicago.","$7,592","pledged of $17,000 goal","127","20","Fri, September 1 2017 12:59 PM AWST",,
"PRIDE? - Feature Documentary About LGBTQ+ Pride In The UK.","Dan Cleland","A compassionate, even-handed documentary exploring LGBTQ+ Pride in the UK that's fundraising to pay for historical film & photos.","£15,397","pledged of £20,000 goal","296","5","Thu, August 17 2017 3:32 PM AWST",,
"Nutritiously Nicola! a dirty comedy about clean eating","Double Yay Productions","A fresh new comedy web series about food, friendship, f-ing up, and finding your filter.","£15,568","pledged of £16,000 goal","188","3","Wed, August 16 2017 4:30 AM AWST",,
